Detailed Statistics Arrivals  ,,,,,
Destination Airport: Dallas,,,,,
Airline: Southwest Airlines Co. (WN),,,,,
Month(s): January,,,,,
Day(s): 14,,,,,
Year(s): 2021,,,,,
DATA SET #2,,,,,
Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Actual Arrival Time
WN,1/14/2021,6,N474WN,HOU,8:16
WN,1/14/2021,22,N493WN,HOU,12:29
WN,1/14/2021,30,N482WN,HOU,14:18
WN,1/14/2021,35,N720WN,ATL,13:46
WN,1/14/2021,38,N470WN,HOU,16:30
WN,1/14/2021,44,N733SA,HOU,17:52
WN,1/14/2021,50,N716SW,HOU,19:26
WN,1/14/2021,54,N7828A,HOU,21:19
WN,1/14/2021,55,N241WN,ATL,19:22
WN,1/14/2021,177,N233LV,PHX,16:26
WN,1/14/2021,347,N8561Z,MDW,22:18
WN,1/14/2021,354,N946WN,STL,17:22
WN,1/14/2021,371,N727SW,SAT,13:23
WN,1/14/2021,456,N8696E,MDW,15:26
WN,1/14/2021,488,N758SW,RNO,15:25
WN,1/14/2021,559,N8568Z,LAX,12:40
WN,1/14/2021,766,N496WN,DEN,11:04
WN,1/14/2021,767,N901WN,SNA,20:01
WN,1/14/2021,779,N7837A,DEN,18:13
WN,1/14/2021,800,N8627B,AUS,16:46
WN,1/14/2021,876,N8531Q,MCO,8:56
WN,1/14/2021,1275,N417WN,BNA,10:10
WN,1/14/2021,1307,N229WN,PHX,13:04
WN,1/14/2021,1438,N724SW,SAT,9:35
WN,1/14/2021,1453,N7745A,MCO,14:05
WN,1/14/2021,1533,N7881A,ATL,9:23
WN,1/14/2021,1613,N8695D,AUS,9:32
WN,1/14/2021,1619,N7874B,HOU,10:41
WN,1/14/2021,1658,N8557Q,TUL,8:54
WN,1/14/2021,2022,N299WN,AMA,16:00
WN,1/14/2021,2044,N556WN,ABQ,12:02
WN,1/14/2021,2055,N8567Z,SAN,17:58
WN,1/14/2021,2098,N8606C,ELP,16:23
WN,1/14/2021,2143,N7883A,PHX,20:31
WN,1/14/2021,2162,N769SW,BHM,9:28
WN,1/14/2021,2199,N417WN,MAF,15:24
WN,1/14/2021,2202,N913WN,BNA,12:01
WN,1/14/2021,2211,N913WN,MEM,16:53
WN,1/14/2021,2253,N8556Z,TPA,16:42
WN,1/14/2021,2330,N283WN,STL,9:45
WN,1/14/2021,2351,N277WN,DCA,16:20
WN,1/14/2021,2419,N290WN,MAF,9:16
WN,1/14/2021,2459,N272WN,BWI,9:41
WN,1/14/2021,2470,N944WN,MCI,13:05
WN,1/14/2021,2493,N242WN,MCI,10:55
WN,1/14/2021,2604,N8530W,BWI,13:56
WN,1/14/2021,2607,N8519R,PHX,11:13
WN,1/14/2021,2680,N7886A,LBB,16:10
WN,1/14/2021,2705,N7832A,MCO,12:06
WN,1/14/2021,2713,N8669B,MSY,14:50
WN,1/14/2021,2748,N7737E,BHM,16:47
WN,1/14/2021,2764,N258WN,CMH,10:48
WN,1/14/2021,2800,N7874B,MCI,15:34
WN,1/14/2021,2840,N8559Q,OMA,14:00
WN,1/14/2021,2884,N8699A,DEN,12:48
WN,1/14/2021,2934,N8651A,DEN,16:59
